iter	RMSE
0	0.04510793065
1	0.04508510575
2	0.04506400737
3	0.04504682331
4	0.04502690239
5	0.04501143387
6	0.04499412502
7	0.04497802096
8	0.04496259598
9	0.04494517429
10	0.0449308275
11	0.04491712931
12	0.04490567861
13	0.04489461442
14	0.04488168886
15	0.04486944002
16	0.0448599234
17	0.0448521035
18	0.0448402886
19	0.04482813261
20	0.04481512515
21	0.04480475744
22	0.0447956996
23	0.044789252
24	0.04477661479
25	0.044767757
26	0.04475744898
27	0.04474986543
28	0.04473830587
29	0.04473133499
30	0.04472338887
31	0.04471527288
32	0.04470875395
33	0.04470064256
34	0.04469528357
35	0.04468712236
36	0.04468001313
37	0.04467399058
38	0.04466795715
39	0.04465967835
40	0.04465416232
41	0.04464745704
42	0.0446409167
43	0.04463529505
44	0.04462952289
45	0.0446225211
46	0.04461083164
47	0.04460095972
48	0.044590258
49	0.04458254879
50	0.04457624662
51	0.04457002997
52	0.04456331425
53	0.04455740286
54	0.04455140532
55	0.04454456866
56	0.04453718141
57	0.04453015903
58	0.04452641008
59	0.04451892716
60	0.04451188893
61	0.04450635358
62	0.04449662953
63	0.04448703521
64	0.04448134289
65	0.04447557707
66	0.04446886444
67	0.04446371779
68	0.04445851982
69	0.04445289796
70	0.04444743336
71	0.0444413432
72	0.04443688311
73	0.04443298432
74	0.04442818812
75	0.04442320185
76	0.0444170166
77	0.04441245351
78	0.04440760335
79	0.04440260806
80	0.04439760501
81	0.04438822209
82	0.04438340207
83	0.04437809298
84	0.04437232906
85	0.04436686536
86	0.04436355969
87	0.04435882258
88	0.04435438363
89	0.0443488652
90	0.04434294534
91	0.04433866904
92	0.04433302781
93	0.04432867151
94	0.04432292531
95	0.04431515173
96	0.04431063231
97	0.04430507307
98	0.04429995787
99	0.04429512123
100	0.04429011599
101	0.04428541251
102	0.04427866819
103	0.04427377213
104	0.0442692014
105	0.04426521494
106	0.04425971143
107	0.04425579753
108	0.04424936774
109	0.04424417474
110	0.04424048397
111	0.04423588403
112	0.04423023396
113	0.04422588978
114	0.04421877266
115	0.04421275961
116	0.04420629445
117	0.04420384694
118	0.04419976512
119	0.04419581071
120	0.04419049651
121	0.0441859944
122	0.04418242924
123	0.04417674426
124	0.04417229811
125	0.04416833417
126	0.04416352721
127	0.04415923843
128	0.04415340306
129	0.04414809496
130	0.04414334955
131	0.04413887752
132	0.04413090633
133	0.04412593544
134	0.04412126862
135	0.04411784742
136	0.04411296492
137	0.0441058312
138	0.04410266118
139	0.04409784488
140	0.04409131417
141	0.04408794624
142	0.04408070543
143	0.04407469949
144	0.04407121364
145	0.04406708141
146	0.04405905589
147	0.04405419825
148	0.04404896611
149	0.04404432251
150	0.04404029901
151	0.04403489346
152	0.0440308457
153	0.04402545229
154	0.04402175501
155	0.0440168006
156	0.04400948134
157	0.04400486652
158	0.04400229037
159	0.04399938437
160	0.04399520728
161	0.04398716378
162	0.04398394364
163	0.0439764113
164	0.04396908033
165	0.04396527649
166	0.04396044029
167	0.04395392991
168	0.04394842142
169	0.04394205768
170	0.04393861418
171	0.04393551417
172	0.04393127011
173	0.04392811483
174	0.04392289574
175	0.04391969892
176	0.04391401846
177	0.04390778327
178	0.04390601244
179	0.0439023248
180	0.04389851396
181	0.04389321716
182	0.04388674289
183	0.04388346468
184	0.04387872938
185	0.04387607341
186	0.04387069043
187	0.04386796452
188	0.04386345855
189	0.04385931629
190	0.04385479083
191	0.04385082514
192	0.04384700066
193	0.04384181732
194	0.0438386208
195	0.04383106998
196	0.04382684486
197	0.04381834361
198	0.04381546368
199	0.04380943707
